Age,attitude,Points,gender,deep,stra,surf
53,3.7,25,F,3.5833333333333335,3.375,2.5833333333333335
55,3.1,12,M,2.9166666666666665,2.75,3.1666666666666665
49,2.5,24,F,3.5,3.625,2.25
53,3.5,10,M,3.5,3.125,2.25
49,3.7,22,M,3.6666666666666665,3.625,2.8333333333333335
38,3.8,21,F,4.75,3.625,2.4166666666666665
50,3.5,21,M,3.8333333333333335,2.25,1.9166666666666667
37,2.9,31,F,3.25,4,2.8333333333333335
37,3.8,24,M,4.333333333333333,4.25,2.1666666666666665
42,2.1,26,F,4,3.5,3
37,3.9,31,M,3.5833333333333335,3.625,2.6666666666666665
34,3.8,31,F,3.8333333333333335,4.75,2.4166666666666665
34,2.4,23,F,4.25,3.625,2.25
34,3,25,F,3.3333333333333335,3.5,2.75
35,2.6,21,M,4.166666666666667,1.75,2.3333333333333335
33,4.1,31,F,3.6666666666666665,3.875,2.3333333333333335
32,2.6,20,F,4.083333333333333,1.375,2.9166666666666665
44,2.6,22,F,3.5,3.25,2.5
29,1.7,9,M,4.083333333333333,3,3.75
30,2.7,24,F,4,3.75,2.75
27,3.9,28,M,3.9166666666666665,2.625,2.3333333333333335
29,3.4,30,M,4,2.375,2.4166666666666665
31,2.7,24,F,4,3.625,3
37,2.3,9,F,3.6666666666666665,2.75,2.4166666666666665
26,3.7,26,F,3.6666666666666665,1.75,2.8333333333333335
26,4.4,32,F,4.416666666666667,3.25,3.1666666666666665
30,4.1,32,M,3.9166666666666665,4,3
33,3.7,33,F,3.75,3.625,2
33,2.5,29,F,3.25,2.875,3.5
28,3,30,M,3.5833333333333335,3,3.75
26,3.4,19,M,4.916666666666667,1.625,2.5
27,3.2,23,F,3.5833333333333335,3.25,2.0833333333333335
25,2,19,F,2.9166666666666665,3.5,2.4166666666666665
31,2.4,12,F,3.6666666666666665,3,2.5833333333333335
20,4.2,10,M,4.5,3.25,1.5833333333333333
39,1.6,11,F,4.083333333333333,1.875,2.8333333333333335
38,3.1,20,M,3.8333333333333335,4.375,1.8333333333333333
24,3.8,26,M,3.25,3.625,2.4166666666666665
26,3.8,31,M,2.3333333333333335,2.5,3.25
25,3.3,20,M,3.3333333333333335,1.25,3.4166666666666665
30,1.7,23,F,4.083333333333333,4,3.4166666666666665
25,2.5,12,F,2.9166666666666665,3,3.1666666666666665
30,3.2,24,M,3.3333333333333335,2.5,3.5
48,3.5,17,F,3.8333333333333335,4.875,2.6666666666666665
24,3.2,29,F,3.6666666666666665,5,2.4166666666666665
40,4.2,23,F,4.666666666666667,4.375,3.5833333333333335
25,3.1,28,M,3.75,3.25,2.0833333333333335
23,3.9,31,F,3.4166666666666665,4,3.75
25,1.9,23,F,4.166666666666667,3.125,2.9166666666666665
23,2.1,25,F,2.9166666666666665,2.5,2.9166666666666665
27,2.5,18,M,4.166666666666667,3.125,2.4166666666666665
25,3.2,19,M,3.5833333333333335,3.25,3
23,3.2,22,M,2.8333333333333335,2.125,3.4166666666666665
23,2.6,25,F,4,2.75,2.9166666666666665
23,2.3,21,F,2.9166666666666665,2.375,3.25
45,3.8,9,F,3,3.125,3.25
22,2.8,28,F,4.083333333333333,4,2.3333333333333335
23,3.3,25,F,2.9166666666666665,4,3.25
21,4.8,29,M,3.5,2.25,2.5
21,4,33,M,4.333333333333333,3.25,1.75
21,4,33,F,4.25,3.625,2.25
21,4.7,25,F,3.4166666666666665,3.625,2.0833333333333335
26,2.3,18,F,3.0833333333333335,2.5,2.8333333333333335
25,3.1,22,F,4.583333333333333,1.875,2.8333333333333335
26,2.7,17,F,3.4166666666666665,2,2.4166666666666665
21,4.1,25,M,3.4166666666666665,1.875,2.25
23,3.4,28,F,3.4166666666666665,4,2.8333333333333335
22,2.5,22,F,3.5833333333333335,2.875,2.25
22,2.1,26,F,1.5833333333333333,3.875,1.8333333333333333
22,1.4,11,F,3.3333333333333335,2.5,2.9166666666666665
23,1.9,29,F,4.333333333333333,2.75,2.9166666666666665
22,3.7,22,M,4.416666666666667,4.5,2.0833333333333335
23,3.2,21,M,4.833333333333333,3.375,2.3333333333333335
24,2.8,28,M,3.0833333333333335,2.625,2.4166666666666665
22,4.1,33,F,3,4.125,2.75
23,2.5,16,F,4.083333333333333,2.625,3.25
22,2.8,31,M,4.083333333333333,2.25,1.75
20,3.8,22,M,3.75,2.75,2.5833333333333335
22,3.1,31,M,3.0833333333333335,3,3.3333333333333335
21,3.5,23,M,4.75,1.625,2.8333333333333335
22,3.6,26,F,4.25,1.875,2.5
23,2.6,12,F,4.166666666666667,3.375,2.4166666666666665
21,4.4,26,M,4.416666666666667,3.75,2.4166666666666665
22,4.5,31,M,3.8333333333333335,2.125,2.5833333333333335
29,3.2,19,M,3.3333333333333335,2.375,3
29,3.9,30,F,3.1666666666666665,2.75,2
21,2.5,12,F,3.1666666666666665,3.125,3.4166666666666665
28,3.3,17,M,3.8333333333333335,3.5,2.8333333333333335
21,3.3,18,F,4.25,2.625,2.25
30,3,19,F,3.8333333333333335,3.375,2.75
21,2.9,21,F,3.6666666666666665,2.25,3.9166666666666665
23,3.3,24,M,3.8333333333333335,3,2.3333333333333335
21,3.3,28,F,3.8333333333333335,4,2.75
21,3.5,17,F,3.8333333333333335,3.5,2.75
20,3.6,18,F,3.6666666666666665,2.625,2.9166666666666665
22,3.7,17,M,4.333333333333333,2.5,2.0833333333333335
21,4.2,23,M,3.75,3.75,3.6666666666666665
21,3.2,26,M,4.166666666666667,3.625,2.8333333333333335
20,5,28,F,4,4.125,3.4166666666666665
22,4.7,31,M,4,4.375,1.5833333333333333
20,3.6,27,F,4.583333333333333,2.625,2.9166666666666665
20,3.6,25,F,3.6666666666666665,4,3
24,2.9,23,M,3.6666666666666665,2.75,2.9166666666666665
20,3.5,21,F,3.8333333333333335,2.75,2.6666666666666665
19,4,27,F,2.5833333333333335,1.375,3
21,3.5,28,F,3.5,2.25,2.75
21,3.2,23,F,3.0833333333333335,3.625,3.0833333333333335
22,2.6,21,F,4.25,3.75,2.5
25,2,25,F,3.1666666666666665,4,2.3333333333333335
21,2.7,11,F,3.0833333333333335,3.125,3
22,3.2,19,F,4.166666666666667,3.25,3
25,3.3,24,F,2.25,2.125,4
20,3.9,28,F,3.3333333333333335,2.875,3.25
24,3.3,21,M,3.0833333333333335,1.5,3.5
20,3,24,F,2.75,2.5,3.5
21,3.7,24,M,3.25,3.25,3.8333333333333335
20,2.5,20,F,4,3.625,2.9166666666666665
20,2.9,19,F,3.5833333333333335,3.875,2.1666666666666665
31,3.9,30,M,4.083333333333333,3.875,1.6666666666666667
20,3.6,22,F,4.25,2.375,2.0833333333333335
22,2.9,16,F,3.4166666666666665,3,2.8333333333333335
22,2.1,16,F,3.0833333333333335,3.375,3.4166666666666665
21,3.1,19,M,3.5,2.75,3.3333333333333335
22,4,30,M,3.6666666666666665,4.5,2.5833333333333335
21,3.1,23,F,4.25,2.625,2.8333333333333335
21,2.3,19,F,4.25,2.75,3.3333333333333335
21,2.8,18,F,3.8333333333333335,3.25,3
21,3.7,28,F,4.416666666666667,4.125,2.5833333333333335
20,2.6,21,F,3.5,3.375,2.4166666666666665
21,2.4,19,F,3.5833333333333335,2.75,3.5833333333333335
25,3,27,F,3.6666666666666665,4.125,2.0833333333333335
21,2.8,24,M,2.0833333333333335,3.25,4.333333333333333
